sample_index,sim_time_s,mobile_x,mobile_y,mobile_state,mobile_rloc16,parent_extaddr,parent_rloc16,parent_node_guess,parent_link_quality_in,parent_link_quality_out,parent_age,parent_version,mobile_to_parent_target,mobile_to_parent_target_rloc16,mobile_to_parent_target_extaddr,mobile_tx_power_dbm,mobile_verified_tx_power_dbm,mobile_to_parent_target_tx_power_dbm,mobile_to_parent_target_verified_tx_power_dbm,mobile_to_parent_tx,mobile_to_parent_rx,mobile_to_parent_loss_pct,mobile_to_parent_rtt_min_ms,mobile_to_parent_rtt_avg_ms,mobile_to_parent_rtt_max_ms,mobile_to_parent_sim_rss_method,mobile_to_parent_sim_rss_match_status,mobile_to_parent_sim_rss_match_confidence,mobile_to_parent_request_rx_sim_rss_dbm,mobile_to_parent_request_rx_sim_lqi,mobile_to_parent_reply_rx_sim_rss_dbm,mobile_to_parent_reply_rx_sim_lqi,mobile_to_parent_sim_rss_event_time_s,parent_switch,connectivity_ok,selected_radio_model,device_profile,thread_device_type,parent_search_config,packet_probe_reliable,primary_parent_observation,ip_counters_json,mle_counters_json,router_a_scan_dbm,router_a_scan_lqi,router_b_scan_dbm,router_b_scan_lqi,router_c_scan_dbm,router_c_scan_lqi
0,191.0,350.0,360.0,child,1801,aa4b22b47cdf0705,1800,router_a,3,3,3,5,router_a,1800,aa4b22b47cdf0705,0.0,0.0,0.0,0.0,1,1,0.0,6.0,6.0,6.0,otns_model_derived_at_ping,model_derived,1.0,-56.57,3,-56.57,3,191.0,False,True,MutualInterference,minimal_end_device,med,enabled,True,packet_probe,"{""RxFailed"": ""0"", ""RxSuccess"": ""31"", ""TxFailed"": ""0"", ""TxSuccess"": ""26""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""181464"", ""Time Detached Milli"": ""9536"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""191000""}",,,,,,
1,192.0,400.0,360.0,child,1801,aa4b22b47cdf0705,1800,router_a,3,3,4,5,router_a,1800,aa4b22b47cdf0705,0.0,0.0,0.0,0.0,1,1,0.0,6.0,6.0,6.0,otns_model_derived_at_ping,model_derived,1.0,-60.956,3,-60.956,3,192.0,False,True,MutualInterference,minimal_end_device,med,enabled,True,packet_probe,"{""RxFailed"": ""0"", ""RxSuccess"": ""32"", ""TxFailed"": ""0"", ""TxSuccess"": ""27""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""182464"", ""Time Detached Milli"": ""9536"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""192000""}",,,,,,
2,193.0,450.0,360.0,child,1801,aa4b22b47cdf0705,1800,router_a,3,3,5,5,router_a,1800,aa4b22b47cdf0705,0.0,0.0,0.0,0.0,1,1,0.0,6.0,6.0,6.0,otns_model_derived_at_ping,model_derived,1.0,-67.625,3,-67.625,3,193.0,False,True,MutualInterference,minimal_end_device,med,enabled,True,packet_probe,"{""RxFailed"": ""0"", ""RxSuccess"": ""33"", ""TxFailed"": ""0"", ""TxSuccess"": ""28""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""183464"", ""Time Detached Milli"": ""9536"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""193000""}",,,,,,
3,194.0,500.0,360.0,child,1801,aa4b22b47cdf0705,1800,router_a,3,3,6,5,router_a,1800,aa4b22b47cdf0705,0.0,0.0,0.0,0.0,1,1,0.0,5.0,5.0,5.0,otns_model_derived_at_ping,model_derived,1.0,-73.046,2,-73.046,2,194.0,False,True,MutualInterference,minimal_end_device,med,enabled,True,packet_probe,"{""RxFailed"": ""0"", ""RxSuccess"": ""34"", ""TxFailed"": ""0"", ""TxSuccess"": ""29""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""184464"", ""Time Detached Milli"": ""9536"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""194000""}",,,,,,
4,195.0,550.0,360.0,child,1801,aa4b22b47cdf0705,1800,router_a,3,3,7,5,router_a,1800,aa4b22b47cdf0705,0.0,0.0,0.0,0.0,1,1,0.0,8.0,8.0,8.0,otns_model_derived_at_ping,model_derived,1.0,-77.313,2,-77.313,2,195.0,False,True,MutualInterference,minimal_end_device,med,enabled,True,packet_probe,"{""RxFailed"": ""0"", ""RxSuccess"": ""35"", ""TxFailed"": ""0"", ""TxSuccess"": ""30""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""185464"", ""Time Detached Milli"": ""9536"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""195000""}",,,,,,
5,196.0,600.0,360.0,child,1801,aa4b22b47cdf0705,1800,router_a,3,3,8,5,router_a,1800,aa4b22b47cdf0705,0.0,0.0,0.0,0.0,1,1,0.0,6.0,6.0,6.0,otns_model_derived_at_ping,model_derived,1.0,-80.774,2,-80.774,2,196.0,False,True,MutualInterference,minimal_end_device,med,enabled,True,packet_probe,"{""RxFailed"": ""0"", ""RxSuccess"": ""36"", ""TxFailed"": ""0"", ""TxSuccess"": ""31""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""186464"", ""Time Detached Milli"": ""9536"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""196000""}",,,,,,
6,197.0,650.0,360.0,child,1801,aa4b22b47cdf0705,1800,router_a,3,3,9,5,router_a,1800,aa4b22b47cdf0705,0.0,0.0,0.0,0.0,1,1,0.0,7.0,7.0,7.0,otns_model_derived_at_ping,model_derived,1.0,-83.667,2,-83.667,2,197.0,False,True,MutualInterference,minimal_end_device,med,enabled,True,packet_probe,"{""RxFailed"": ""0"", ""RxSuccess"": ""37"", ""TxFailed"": ""0"", ""TxSuccess"": ""32""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""187464"", ""Time Detached Milli"": ""9536"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""197000""}",,,,,,
7,198.0,700.0,360.0,child,1801,aa4b22b47cdf0705,1800,router_a,3,3,10,5,router_a,1800,aa4b22b47cdf0705,0.0,0.0,0.0,0.0,1,1,0.0,6.0,6.0,6.0,otns_model_derived_at_ping,model_derived,1.0,-86.146,1,-86.146,1,198.0,False,True,MutualInterference,minimal_end_device,med,enabled,True,packet_probe,"{""RxFailed"": ""0"", ""RxSuccess"": ""38"", ""TxFailed"": ""0"", ""TxSuccess"": ""33""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""188464"", ""Time Detached Milli"": ""9536"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""198000""}",,,,,,
8,199.0,750.0,360.0,child,1801,aa4b22b47cdf0705,1800,router_a,3,3,11,5,router_a,1800,aa4b22b47cdf0705,0.0,0.0,0.0,0.0,,,,,,,otns_model_derived_at_ping,model_derived,1.0,-88.311,1,,,199.0,False,False,MutualInterference,minimal_end_device,med,enabled,True,packet_probe,"{""RxFailed"": ""0"", ""RxSuccess"": ""38"", ""TxFailed"": ""1"", ""TxSuccess"": ""33""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""189464"", ""Time Detached Milli"": ""9536"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""199000""}",,,,,,
9,200.0,800.0,360.0,child,1801,aa4b22b47cdf0705,1800,router_a,3,3,12,5,router_a,1800,aa4b22b47cdf0705,0.0,0.0,0.0,0.0,,,,,,,otns_model_derived_at_ping,model_derived,1.0,-90.232,1,,,200.0,False,False,MutualInterference,minimal_end_device,med,enabled,True,packet_probe,"{""RxFailed"": ""0"", ""RxSuccess"": ""38"", ""TxFailed"": ""1"", ""TxSuccess"": ""33""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""190464"", ""Time Detached Milli"": ""9536"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""200000""}",,,,,,
