sample_index,sim_time_s,mobile_x,mobile_y,mobile_state,mobile_rloc16,parent_extaddr,parent_rloc16,parent_node_guess,parent_link_quality_in,parent_link_quality_out,parent_age,parent_version,parent_switch,connectivity_ok,selected_radio_model,device_profile,thread_device_type,parent_search_config,packet_probe_reliable,primary_parent_observation,router_a_scan_dbm,router_a_scan_lqi,router_b_scan_dbm,router_b_scan_lqi,ip_counters_json,mle_counters_json,router_a_to_mobile_tx,router_a_to_mobile_rx,router_a_to_mobile_loss_pct,router_a_to_mobile_rtt_min_ms,router_a_to_mobile_rtt_avg_ms,router_a_to_mobile_rtt_max_ms,router_b_to_mobile_tx,router_b_to_mobile_rx,router_b_to_mobile_loss_pct,router_b_to_mobile_rtt_min_ms,router_b_to_mobile_rtt_avg_ms,router_b_to_mobile_rtt_max_ms
0,481.0,150.0,360.0,child,3001,0e0f29b668b67904,3000,router_a,3,3,5,5,False,True,MutualInterference,minimal_end_device,med,disabled,True,packet_probe,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""61"", ""TxFailed"": ""0"", ""TxSuccess"": ""28""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""471464"", ""Time Detached Milli"": ""9536"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""481000""}",1,1,0.0,5.0,5.0,5.0,1,1,0.0,32.0,32.0,32.0
1,482.0,200.0,360.0,child,3001,0e0f29b668b67904,3000,router_a,3,3,6,5,False,True,MutualInterference,minimal_end_device,med,disabled,True,packet_probe,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""64"", ""TxFailed"": ""0"", ""TxSuccess"": ""31""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""472464"", ""Time Detached Milli"": ""9536"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""482000""}",1,1,0.0,17.0,17.0,17.0,1,1,0.0,26.0,26.0,26.0
2,483.0,250.0,360.0,child,3001,0e0f29b668b67904,3000,router_a,3,3,7,5,False,True,MutualInterference,minimal_end_device,med,disabled,True,packet_probe,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""66"", ""TxFailed"": ""0"", ""TxSuccess"": ""33""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""473464"", ""Time Detached Milli"": ""9536"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""483000""}",1,1,0.0,15.0,15.0,15.0,1,1,0.0,30.0,30.0,30.0
3,484.0,300.0,360.0,child,3001,0e0f29b668b67904,3000,router_a,3,3,8,5,False,True,MutualInterference,minimal_end_device,med,disabled,True,packet_probe,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""68"", ""TxFailed"": ""0"", ""TxSuccess"": ""35""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""474464"", ""Time Detached Milli"": ""9536"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""484000""}",1,1,0.0,9.0,9.0,9.0,1,1,0.0,28.0,28.0,28.0
4,485.0,350.0,360.0,child,3001,0e0f29b668b67904,3000,router_a,3,3,9,5,False,True,MutualInterference,minimal_end_device,med,disabled,True,packet_probe,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""70"", ""TxFailed"": ""0"", ""TxSuccess"": ""37""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""475464"", ""Time Detached Milli"": ""9536"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""485000""}",1,1,0.0,7.0,7.0,7.0,1,1,0.0,28.0,28.0,28.0
5,486.0,400.0,360.0,child,3001,0e0f29b668b67904,3000,router_a,3,3,10,5,False,True,MutualInterference,minimal_end_device,med,disabled,True,packet_probe,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""72"", ""TxFailed"": ""0"", ""TxSuccess"": ""39""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""476464"", ""Time Detached Milli"": ""9536"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""486000""}",1,1,0.0,9.0,9.0,9.0,1,1,0.0,20.0,20.0,20.0
6,487.0,450.0,360.0,child,3001,0e0f29b668b67904,3000,router_a,3,3,0,5,False,True,MutualInterference,minimal_end_device,med,disabled,True,packet_probe,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""75"", ""TxFailed"": ""0"", ""TxSuccess"": ""41""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""477464"", ""Time Detached Milli"": ""9536"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""487000""}",1,1,0.0,18.0,18.0,18.0,1,1,0.0,29.0,29.0,29.0
7,488.0,500.0,360.0,child,3001,0e0f29b668b67904,3000,router_a,2,3,1,5,False,True,MutualInterference,minimal_end_device,med,disabled,True,packet_probe,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""77"", ""TxFailed"": ""0"", ""TxSuccess"": ""43""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""478464"", ""Time Detached Milli"": ""9536"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""488000""}",1,1,0.0,8.0,8.0,8.0,1,1,0.0,23.0,23.0,23.0
8,489.0,550.0,360.0,child,3001,0e0f29b668b67904,3000,router_a,2,3,2,5,False,True,MutualInterference,minimal_end_device,med,disabled,True,packet_probe,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""79"", ""TxFailed"": ""0"", ""TxSuccess"": ""45""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""479464"", ""Time Detached Milli"": ""9536"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""489000""}",1,1,0.0,16.0,16.0,16.0,1,1,0.0,29.0,29.0,29.0
9,490.0,600.0,360.0,child,3001,0e0f29b668b67904,3000,router_a,2,3,3,5,False,True,MutualInterference,minimal_end_device,med,disabled,True,packet_probe,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""81"", ""TxFailed"": ""0"", ""TxSuccess"": ""47""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""480464"", ""Time Detached Milli"": ""9536"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""490000""}",1,1,0.0,10.0,10.0,10.0,1,1,0.0,25.0,25.0,25.0
