platform,variant,routers,metric,n,mean,sd,median,iqr,p05,p25,p75,p95,min,max,trimmed_mean
hardware,ucast,2,parent_request_to_response_ms,100,269.48597196000003,139.72392082854964,298.338056,241.116226,37.3549339,142.2054765,383.3217025,475.51853700000004,11.835098,501.063108,272.1865416
otns,ucast,2,parent_response_to_child_id_request_ms,100,5.9248,1.274407986938138,5.736,1.04,4.616,5.176,6.216,8.136,4.616,13.576,5.732
hardware,ucast,2,parent_response_to_child_id_request_ms,100,10.4754472,0.8740554069525049,10.5575325,1.7229912499999998,9.387934549999999,9.463489,11.186480249999999,11.7503287,8.952856,12.144089,10.4534894375
otns,ucast,2,child_id_request_to_response_ms,100,5.6752,1.3164074773658216,5.416,1.2800000000000002,4.456,4.776,6.056,8.311999999999998,4.456,12.136,5.428
hardware,ucast,2,child_id_request_to_response_ms,100,13.83901832,0.9263553132842807,13.9945745,1.568674999999999,12.465178799999999,12.945771,14.514446,14.89086115,12.178898,17.831802,13.8307094375
otns,ucast,2,full_attach_ms,100,258.86752,147.64357458929476,259.73199999999997,257.71799999999996,31.724,132.044,389.762,475.8216,24.832,505.744,258.7607
hardware,ucast,2,full_attach_ms,100,293.80043744,139.95859241011914,322.6139545,240.08685325,60.70431445,168.00200975,408.088863,499.87015725000003,35.038948,524.06311,296.51186465
otns,ucast,2,parent_request_to_ack_ms,100,2.56,0.0,2.56,0.0,2.56,2.56,2.56,2.56,2.56,2.56,2.56
hardware,ucast,2,parent_request_to_ack_ms,100,2.56755137,0.0005477857661126627,2.568007,0.0009540000000001214,2.566814,2.567053,2.568007,2.568007,2.566814,2.56896,2.5675627625
otns,ucast,2,parent_request_ack_to_parent_response_ms,100,244.70752,147.35504569839938,245.22,256.91200000000003,18.414,118.892,375.80400000000003,461.0904,12.88,490.912,244.50469999999999
hardware,ucast,2,parent_request_ack_to_parent_response_ms,100,266.9184208,139.72398160843275,295.770526,241.11622525,34.78811985,139.63770875,380.753934,472.95053005,9.267092,498.495102,269.618997
otns,ucast,2,parent_response_to_ack_ms,100,4.0,0.0,4.0,0.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0
hardware,ucast,2,parent_response_to_ack_ms,100,4.0075565399999995,0.0005004595750533694,4.007816,0.0009540000000001214,4.006863,4.007101,4.008055,4.008055,4.006863,4.008055,4.007580925
otns,ucast,2,parent_response_ack_to_child_id_request_ms,100,1.9248,1.274407986938138,1.736,1.0400000000000003,0.616,1.176,2.216,4.136,0.616,9.576,1.732
hardware,ucast,2,parent_response_ack_to_child_id_request_ms,100,6.46789072,0.8740246812965969,6.549597,1.7225149999999996,5.38105965,5.4561495,7.1786645,7.742273699999999,4.945993,8.136034,6.4459294125
otns,ucast,2,child_id_request_to_ack_ms,100,3.84,0.0,3.84,0.0,3.84,3.84,3.84,3.84,3.84,3.84,3.84
hardware,ucast,2,child_id_request_to_ack_ms,100,3.8475584400000002,0.0005326248005695002,3.847837,0.0009539999999996773,3.846884,3.847122,3.848076,3.848076,3.846884,3.84903,3.8475542000000003
otns,ucast,2,child_id_request_ack_to_child_id_response_ms,100,1.8352,1.3164074773658216,1.576,1.2800000000000002,0.616,0.936,2.216,4.4719999999999995,0.616,8.296,1.588
hardware,ucast,2,child_id_request_ack_to_child_id_response_ms,100,9.99145983,0.9263236114872867,10.1475715,1.568377,8.6182829,9.09847025,10.66684725,11.0439185,8.330822,13.983965,9.9831640375
