sample_index,sim_time_s,mobile_x,mobile_y,mobile_state,mobile_rloc16,parent_extaddr,parent_rloc16,parent_node_guess,parent_link_quality_in,parent_link_quality_out,parent_age,parent_version,mobile_to_parent_target,mobile_to_parent_target_rloc16,mobile_to_parent_target_extaddr,mobile_to_parent_tx,mobile_to_parent_rx,mobile_to_parent_loss_pct,mobile_to_parent_rtt_min_ms,mobile_to_parent_rtt_avg_ms,mobile_to_parent_rtt_max_ms,parent_switch,connectivity_ok,selected_radio_model,device_profile,thread_device_type,parent_search_config,packet_probe_reliable,primary_parent_observation,router_a_scan_dbm,router_a_scan_lqi,router_b_scan_dbm,router_b_scan_lqi,ip_counters_json,mle_counters_json,router_a_to_mobile_tx,router_a_to_mobile_rx,router_a_to_mobile_loss_pct,router_a_to_mobile_rtt_min_ms,router_a_to_mobile_rtt_avg_ms,router_a_to_mobile_rtt_max_ms,router_b_to_mobile_tx,router_b_to_mobile_rx,router_b_to_mobile_loss_pct,router_b_to_mobile_rtt_min_ms,router_b_to_mobile_rtt_avg_ms,router_b_to_mobile_rtt_max_ms
0,481.0,150.0,360.0,child,b401,062f5759657e9449,b400,router_a,3,3,216,5,router_a,b400,062f5759657e9449,1,1,0.0,15.0,15.0,15.0,False,True,MutualInterference,sleepy_end_device,sed,disabled,False,parent_command,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""13"", ""TxFailed"": ""0"", ""TxSuccess"": ""28""}","{""Attach Attempts"": ""1"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""472256"", ""Time Detached Milli"": ""8744"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""481000""}",1,1,0.0,18.0,18.0,18.0,,,,,,
1,482.0,200.0,360.0,child,b401,062f5759657e9449,b400,router_a,3,3,217,5,router_a,b400,062f5759657e9449,1,1,0.0,36.0,36.0,36.0,False,True,MutualInterference,sleepy_end_device,sed,disabled,False,parent_command,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""16"", ""TxFailed"": ""0"", ""TxSuccess"": ""31""}","{""Attach Attempts"": ""1"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""473256"", ""Time Detached Milli"": ""8744"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""482000""}",1,1,0.0,39.0,39.0,39.0,1,1,0.0,1031.0,1031.0,1031.0
2,483.0,250.0,360.0,child,b401,062f5759657e9449,b400,router_a,3,3,218,5,router_a,b400,062f5759657e9449,1,1,0.0,14.0,14.0,14.0,False,True,MutualInterference,sleepy_end_device,sed,disabled,False,parent_command,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""19"", ""TxFailed"": ""0"", ""TxSuccess"": ""34""}","{""Attach Attempts"": ""1"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""474256"", ""Time Detached Milli"": ""8744"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""483000""}",1,1,0.0,26.0,26.0,26.0,1,1,0.0,40.0,40.0,40.0
3,484.0,300.0,360.0,child,b401,062f5759657e9449,b400,router_a,3,3,219,5,router_a,b400,062f5759657e9449,1,1,0.0,19.0,19.0,19.0,False,True,MutualInterference,sleepy_end_device,sed,disabled,False,parent_command,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""22"", ""TxFailed"": ""0"", ""TxSuccess"": ""37""}","{""Attach Attempts"": ""1"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""475256"", ""Time Detached Milli"": ""8744"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""484000""}",1,1,0.0,22.0,22.0,22.0,1,1,0.0,37.0,37.0,37.0
4,485.0,350.0,360.0,child,b401,062f5759657e9449,b400,router_a,3,3,220,5,router_a,b400,062f5759657e9449,1,1,0.0,35.0,35.0,35.0,False,True,MutualInterference,sleepy_end_device,sed,disabled,False,parent_command,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""25"", ""TxFailed"": ""0"", ""TxSuccess"": ""40""}","{""Attach Attempts"": ""1"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""476256"", ""Time Detached Milli"": ""8744"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""485000""}",1,1,0.0,29.0,29.0,29.0,1,1,0.0,44.0,44.0,44.0
5,486.0,400.0,360.0,child,b401,062f5759657e9449,b400,router_a,3,3,221,5,router_a,b400,062f5759657e9449,1,1,0.0,18.0,18.0,18.0,False,True,MutualInterference,sleepy_end_device,sed,disabled,False,parent_command,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""28"", ""TxFailed"": ""0"", ""TxSuccess"": ""43""}","{""Attach Attempts"": ""1"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""477256"", ""Time Detached Milli"": ""8744"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""486000""}",1,1,0.0,21.0,21.0,21.0,1,1,0.0,35.0,35.0,35.0
6,487.0,450.0,360.0,child,b401,062f5759657e9449,b400,router_a,3,3,222,5,router_a,b400,062f5759657e9449,1,1,0.0,26.0,26.0,26.0,False,True,MutualInterference,sleepy_end_device,sed,disabled,False,parent_command,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""31"", ""TxFailed"": ""0"", ""TxSuccess"": ""46""}","{""Attach Attempts"": ""1"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""478256"", ""Time Detached Milli"": ""8744"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""487000""}",1,1,0.0,20.0,20.0,20.0,1,1,0.0,34.0,34.0,34.0
7,488.0,500.0,360.0,child,b401,062f5759657e9449,b400,router_a,2,3,223,5,router_a,b400,062f5759657e9449,1,1,0.0,14.0,14.0,14.0,False,True,MutualInterference,sleepy_end_device,sed,disabled,False,parent_command,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""34"", ""TxFailed"": ""0"", ""TxSuccess"": ""49""}","{""Attach Attempts"": ""1"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""479256"", ""Time Detached Milli"": ""8744"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""488000""}",1,1,0.0,17.0,17.0,17.0,1,1,0.0,45.0,45.0,45.0
8,489.0,550.0,360.0,child,b401,062f5759657e9449,b400,router_a,2,3,224,5,router_a,b400,062f5759657e9449,,,,,,,False,True,MutualInterference,sleepy_end_device,sed,disabled,False,parent_command,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""34"", ""TxFailed"": ""1"", ""TxSuccess"": ""49""}","{""Attach Attempts"": ""1"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""480256"", ""Time Detached Milli"": ""8744"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""489000""}",,,,,,,,,,,,
9,490.0,600.0,360.0,child,b401,062f5759657e9449,b400,router_a,2,3,225,5,router_a,b400,062f5759657e9449,,,,,,,False,True,MutualInterference,sleepy_end_device,sed,disabled,False,parent_command,,,,,"{""RxFailed"": ""0"", ""RxSuccess"": ""34"", ""TxFailed"": ""1"", ""TxSuccess"": ""49""}","{""Attach Attempts"": ""1"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""0"", ""Parent Changes"": ""0"", ""Partition Id Changes"": ""1"", ""Role Child"": ""1"", ""Role Detached"": ""1"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""481256"", ""Time Detached Milli"": ""8744"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""490000""}",,,,,,,,,,,,
