sample_index,sim_time_s,mobile_x,mobile_y,mobile_state,mobile_rloc16,parent_extaddr,parent_rloc16,parent_node_guess,parent_link_quality_in,parent_link_quality_out,parent_age,parent_version,mobile_to_parent_target,mobile_to_parent_target_rloc16,mobile_to_parent_target_extaddr,mobile_tx_power_dbm,mobile_verified_tx_power_dbm,mobile_to_parent_target_tx_power_dbm,mobile_to_parent_target_verified_tx_power_dbm,mobile_to_parent_tx,mobile_to_parent_rx,mobile_to_parent_loss_pct,mobile_to_parent_rtt_min_ms,mobile_to_parent_rtt_avg_ms,mobile_to_parent_rtt_max_ms,mobile_to_parent_sim_rss_method,mobile_to_parent_sim_rss_match_status,mobile_to_parent_sim_rss_match_confidence,mobile_to_parent_request_rx_sim_rss_dbm,mobile_to_parent_request_rx_sim_lqi,mobile_to_parent_reply_rx_sim_rss_dbm,mobile_to_parent_reply_rx_sim_lqi,mobile_to_parent_sim_rss_event_time_s,parent_switch,connectivity_ok,selected_radio_model,device_profile,thread_device_type,parent_search_config,packet_probe_reliable,primary_parent_observation,ip_counters_json,mle_counters_json,router_a_scan_dbm,router_a_scan_lqi,router_b_scan_dbm,router_b_scan_lqi,router_c_scan_dbm,router_c_scan_lqi,router_d_scan_dbm,router_d_scan_lqi
0,1201.0,350.0,360.0,child,f002,226762d25cf7f93c,f000,router_c,1,1,1,5,router_c,f000,226762d25cf7f93c,0.0,0.0,0.0,0.0,1,1,0.0,21.0,21.0,21.0,otns_model_derived_at_ping,model_derived,1.0,-104.206,0,-104.206,0,1201.0,False,True,MutualInterference,full_end_device,fed,disabled,True,packet_probe,"{""RxFailed"": ""0"", ""RxSuccess"": ""189"", ""TxFailed"": ""0"", ""TxSuccess"": ""21""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""1"", ""Parent Changes"": ""1"", ""Partition Id Changes"": ""2"", ""Role Child"": ""2"", ""Role Detached"": ""2"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""1191957"", ""Time Detached Milli"": ""9043"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""1201000""}",,,,,,,,
1,1202.0,399.306,360.0,child,f002,226762d25cf7f93c,f000,router_c,1,1,2,5,router_c,f000,226762d25cf7f93c,0.0,0.0,0.0,0.0,,,,,,,otns_model_derived_at_ping,model_derived,1.0,-103.409,0,,,1202.0,False,False,MutualInterference,full_end_device,fed,disabled,True,packet_probe,"{""RxFailed"": ""0"", ""RxSuccess"": ""189"", ""TxFailed"": ""1"", ""TxSuccess"": ""21""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""1"", ""Parent Changes"": ""1"", ""Partition Id Changes"": ""2"", ""Role Child"": ""2"", ""Role Detached"": ""2"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""1192957"", ""Time Detached Milli"": ""9043"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""1202000""}",,,,,,,,
2,1203.0,448.611,360.0,child,f002,226762d25cf7f93c,f000,router_c,1,1,3,5,router_c,f000,226762d25cf7f93c,0.0,0.0,0.0,0.0,,,,,,,otns_model_derived_at_ping,model_derived,1.0,-102.571,0,,,1203.0,False,False,MutualInterference,full_end_device,fed,disabled,True,packet_probe,"{""RxFailed"": ""0"", ""RxSuccess"": ""189"", ""TxFailed"": ""1"", ""TxSuccess"": ""21""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""1"", ""Parent Changes"": ""1"", ""Partition Id Changes"": ""2"", ""Role Child"": ""2"", ""Role Detached"": ""2"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""1193957"", ""Time Detached Milli"": ""9043"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""1203000""}",,,,,,,,
3,1204.0,497.917,360.0,child,f002,226762d25cf7f93c,f000,router_c,1,1,4,5,router_c,f000,226762d25cf7f93c,0.0,0.0,0.0,0.0,1,0,100.0,,,,otns_model_derived_at_ping,model_derived,1.0,-101.69,0,,,1204.0,False,False,MutualInterference,full_end_device,fed,disabled,True,packet_probe,"{""RxFailed"": ""0"", ""RxSuccess"": ""189"", ""TxFailed"": ""1"", ""TxSuccess"": ""21""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""1"", ""Parent Changes"": ""1"", ""Partition Id Changes"": ""2"", ""Role Child"": ""2"", ""Role Detached"": ""2"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""1194957"", ""Time Detached Milli"": ""9043"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""1204000""}",,,,,,,,
4,1205.0,547.222,360.0,child,f002,226762d25cf7f93c,f000,router_c,1,1,5,5,router_c,f000,226762d25cf7f93c,0.0,0.0,0.0,0.0,1,1,0.0,5.0,5.0,5.0,otns_model_derived_at_ping,model_derived,1.0,-100.759,0,-100.759,0,1205.0,False,True,MutualInterference,full_end_device,fed,disabled,True,packet_probe,"{""RxFailed"": ""0"", ""RxSuccess"": ""190"", ""TxFailed"": ""1"", ""TxSuccess"": ""22""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""1"", ""Parent Changes"": ""1"", ""Partition Id Changes"": ""2"", ""Role Child"": ""2"", ""Role Detached"": ""2"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""1195957"", ""Time Detached Milli"": ""9043"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""1205000""}",,,,,,,,
5,1206.0,596.528,360.0,child,f002,226762d25cf7f93c,f000,router_c,1,1,6,5,router_c,f000,226762d25cf7f93c,0.0,0.0,0.0,0.0,,,,,,,otns_model_derived_at_ping,model_derived,1.0,-99.774,1,,,1206.0,False,False,MutualInterference,full_end_device,fed,disabled,True,packet_probe,"{""RxFailed"": ""0"", ""RxSuccess"": ""190"", ""TxFailed"": ""2"", ""TxSuccess"": ""22""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""1"", ""Parent Changes"": ""1"", ""Partition Id Changes"": ""2"", ""Role Child"": ""2"", ""Role Detached"": ""2"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""1196957"", ""Time Detached Milli"": ""9043"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""1206000""}",,,,,,,,
6,1207.0,645.833,360.0,child,f002,226762d25cf7f93c,f000,router_c,1,1,7,5,router_c,f000,226762d25cf7f93c,0.0,0.0,0.0,0.0,,,,,,,otns_model_derived_at_ping,model_derived,1.0,-98.727,1,,,1207.0,False,False,MutualInterference,full_end_device,fed,disabled,True,packet_probe,"{""RxFailed"": ""0"", ""RxSuccess"": ""191"", ""TxFailed"": ""2"", ""TxSuccess"": ""22""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""1"", ""Parent Changes"": ""1"", ""Partition Id Changes"": ""2"", ""Role Child"": ""2"", ""Role Detached"": ""2"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""1197957"", ""Time Detached Milli"": ""9043"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""1207000""}",,,,,,,,
7,1208.0,695.139,360.0,child,f002,226762d25cf7f93c,f000,router_c,1,1,8,5,router_c,f000,226762d25cf7f93c,0.0,0.0,0.0,0.0,1,0,100.0,,,,otns_model_derived_at_ping,model_derived,1.0,-97.61,1,,,1208.0,False,False,MutualInterference,full_end_device,fed,disabled,True,packet_probe,"{""RxFailed"": ""0"", ""RxSuccess"": ""191"", ""TxFailed"": ""2"", ""TxSuccess"": ""22""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""1"", ""Parent Changes"": ""1"", ""Partition Id Changes"": ""2"", ""Role Child"": ""2"", ""Role Detached"": ""2"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""1198957"", ""Time Detached Milli"": ""9043"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""1208000""}",,,,,,,,
8,1209.0,744.444,360.0,child,f002,226762d25cf7f93c,f000,router_c,1,1,9,5,router_c,f000,226762d25cf7f93c,0.0,0.0,0.0,0.0,1,1,0.0,8.0,8.0,8.0,otns_model_derived_at_ping,model_derived,1.0,-96.413,1,-96.413,1,1209.0,False,True,MutualInterference,full_end_device,fed,disabled,True,packet_probe,"{""RxFailed"": ""0"", ""RxSuccess"": ""192"", ""TxFailed"": ""2"", ""TxSuccess"": ""23""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""1"", ""Parent Changes"": ""1"", ""Partition Id Changes"": ""2"", ""Role Child"": ""2"", ""Role Detached"": ""2"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""1199957"", ""Time Detached Milli"": ""9043"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""1209000""}",,,,,,,,
9,1210.0,793.75,360.0,child,f002,226762d25cf7f93c,f000,router_c,1,1,10,5,router_c,f000,226762d25cf7f93c,0.0,0.0,0.0,0.0,1,1,0.0,7.0,7.0,7.0,otns_model_derived_at_ping,model_derived,1.0,-95.124,1,-95.124,1,1210.0,False,True,MutualInterference,full_end_device,fed,disabled,True,packet_probe,"{""RxFailed"": ""0"", ""RxSuccess"": ""193"", ""TxFailed"": ""2"", ""TxSuccess"": ""24""}","{""Attach Attempts"": ""2"", ""Better Parent Attach Attempts"": ""0"", ""Better Partition Attach Attempts"": ""1"", ""Parent Changes"": ""1"", ""Partition Id Changes"": ""2"", ""Role Child"": ""2"", ""Role Detached"": ""2"", ""Role Disabled"": ""0"", ""Role Leader"": ""0"", ""Role Router"": ""0"", ""Time Child Milli"": ""1200957"", ""Time Detached Milli"": ""9043"", ""Time Disabled Milli"": ""0"", ""Time Leader Milli"": ""0"", ""Time Router Milli"": ""0"", ""Time Tracked Milli"": ""1210000""}",,,,,,,,
